No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,21,0,17,12,0,0,9,9,0,0,26,21,0,0,9,4,5,5,12,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
2,설영우,DF,66,99,0,0,2,1,1,0,1,1,0,0,0,9,1,0,71,67,0,13,13,26,26,32,28,21,18,6,6,44,43,3,3,21,20,47,44,3,1,0,0,1,1,1,1,3,1,2,10,3,1,0,2,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
3,황석호,DF,20,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,88,80,0,35,27,5,5,48,48,2,2,18,16,68,62,7,2,37,36,44,42,0,0,1,1,3,2,3,0,7,2,2,10,2,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
4,이명재,DF,13,99,0,0,0,0,0,0,0,0,0,2,1,9,0,0,51,44,1,17,13,18,18,16,13,25,19,3,3,23,22,3,3,13,11,35,30,7,3,1,1,2,0,0,0,1,0,1,3,1,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
5,김영권,DF,19,89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,98,89,0,55,46,7,7,36,36,4,3,14,14,80,72,11,7,48,43,39,39,0,0,1,0,3,1,1,0,3,0,1,7,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
6,아타루,MF,31,99,1,0,3,2,1,0,2,1,0,0,1,0,1,0,42,28,0,22,12,10,9,10,7,17,10,2,1,23,17,1,1,13,9,28,18,3,0,3,2,1,1,1,0,1,1,4,9,1,0,0,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
7,장시영,MF,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,4,1,0,2,1,0,0,3,3,0,0,2,2,3,2,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
8,김민우,MF,10,74,0,0,1,0,0,1,1,0,2,0,0,1,1,0,28,23,1,8,3,14,14,6,6,14,11,0,0,14,12,1,0,5,4,22,19,0,0,1,0,4,3,1,0,0,2,1,6,3,1,1,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
9,고승범,MF,7,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,75,0,18,12,22,22,42,41,14,11,8,7,60,57,3,2,23,22,56,51,0,0,1,0,2,0,2,1,2,2,4,7,1,0,0,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
10,이규성,MF,8,99,0,0,0,0,0,0,0,0,0,0,1,0,1,1,75,63,1,27,16,12,12,36,35,18,14,6,4,51,45,5,2,34,30,36,31,1,1,0,0,2,0,1,0,2,2,0,11,2,0,0,3,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
11,주민규,FW,18,99,0,0,1,1,0,0,1,0,1,0,0,0,0,0,20,15,1,4,1,6,5,10,9,6,4,3,2,11,9,0,0,5,4,15,11,0,0,3,3,13,8,2,2,1,1,1,6,1,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
12,엄원상,대기,11,69,0,0,2,1,0,1,2,0,0,0,0,0,3,0,12,10,3,2,1,3,3,7,6,9,9,1,0,2,1,1,0,1,1,10,9,4,0,1,1,3,0,1,0,0,1,2,7,1,1,0,1,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
13,심상민,대기,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
14,마틴 아담,대기,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
15,마테우스,대기,95,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
16,김지현,대기,96,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
17,문현호,대기,37,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
18,루빅손,대기,17,25,0,0,2,1,0,1,2,0,0,0,0,0,0,0,5,4,0,2,1,3,3,0,0,3,3,0,0,2,1,0,0,2,1,3,3,1,1,0,0,2,2,0,0,1,0,0,3,0,0,1,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
19,임종은,대기,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
20,이동경,대기,14,25,0,0,1,0,1,0,0,1,0,1,1,0,0,0,10,10,1,3,3,4,4,3,3,6,6,0,0,4,4,1,1,1,1,8,8,1,1,1,0,1,1,2,1,0,0,1,1,1,1,0,0,0,0,2024,하나은행 K리그1,울산,1R / 포항(H),1R , 포항(H)
1,조현우,GK,21,102,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,34,0,16,9,0,0,25,25,0,0,40,34,1,0,8,1,24,24,9,9,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
2,심상민,DF,2,102,0,0,0,0,0,0,0,0,0,1,0,5,1,1,42,38,0,16,12,13,13,13,13,4,4,20,17,18,17,3,2,16,14,23,22,2,1,0,0,5,1,1,1,3,1,0,8,0,0,0,1,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
3,임종은,DF,5,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,47,0,25,18,5,5,25,24,0,0,29,24,26,23,3,2,30,27,22,18,0,0,2,1,9,7,3,1,7,2,2,5,3,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
4,장시영,DF,28,84,1,0,1,1,0,0,1,0,0,0,0,8,2,2,50,40,2,15,6,23,22,12,12,9,8,17,11,24,21,4,3,24,21,22,16,2,1,0,0,1,0,5,2,2,1,4,5,2,0,2,0,1,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
5,김영권,DF,19,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,51,42,0,33,24,4,4,14,14,0,0,26,22,25,20,11,6,22,20,18,16,0,0,0,0,1,0,2,1,0,1,2,2,2,0,0,1,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
6,루빅손,MF,17,102,0,1,0,0,0,0,0,0,2,0,0,0,1,0,26,19,1,10,7,8,7,8,5,5,4,6,5,15,10,1,1,8,4,17,14,1,1,3,3,4,2,2,0,3,2,2,7,3,0,1,1,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
7,고승범,MF,7,102,0,0,1,1,0,0,1,0,0,0,0,0,1,0,47,43,0,18,15,16,15,13,13,5,5,10,10,32,28,0,0,18,16,29,27,1,0,2,2,1,0,5,3,7,4,2,7,2,2,1,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
8,마테우스,MF,95,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,26,0,9,5,10,10,12,11,1,1,8,7,22,18,3,0,17,15,11,11,0,0,3,1,1,1,9,3,5,1,13,5,5,0,2,2,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
9,김민우,MF,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,4,4,7,7,4,4,10,10,0,0,5,5,0,0,7,7,8,8,1,0,2,1,1,0,5,0,1,0,0,0,1,0,2,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
10,이동경,MF,14,93,2,1,4,3,1,0,2,2,0,1,0,0,1,0,29,21,1,10,3,10,10,9,8,8,5,5,4,16,12,1,0,9,8,19,13,2,0,1,0,3,1,2,0,0,0,1,7,1,2,2,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
11,마틴 아담,FW,9,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,13,0,0,0,9,9,4,4,4,4,1,1,8,8,0,0,0,0,13,13,0,0,2,2,7,4,1,0,0,0,0,1,1,0,1,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
12,아타루,대기,31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
13,김지현,대기,96,37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,0,3,2,4,4,0,0,4,4,0,0,3,2,1,0,1,1,5,5,0,0,5,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
14,이청용,대기,27,37,0,0,1,1,0,0,0,1,0,0,0,0,0,0,9,7,0,3,1,4,4,2,2,2,2,3,3,4,2,1,0,1,1,7,6,1,1,0,0,0,0,3,0,0,0,0,7,0,0,0,2,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
15,켈빈,대기,97,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
16,이명재,대기,13,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
17,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
18,보야니치,대기,6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
19,황석호,대기,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,8,5,2,2,5,5,0,0,11,8,4,4,2,1,6,6,7,5,0,0,0,0,5,3,1,0,7,1,2,1,0,0,1,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
20,최강민,대기,70,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,0,5,4,0,0,2,1,1,1,2,1,4,3,0,0,1,1,6,4,0,0,0,0,0,0,2,1,1,2,1,0,2,0,0,0,0,0,2024,하나은행 K리그1,울산,2R / 김천(A),2R , 김천(A)
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,28,0,12,10,0,0,18,18,0,0,30,28,0,0,3,1,15,15,12,12,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
2,김영권,DF,19,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,116,100,0,60,45,13,12,43,43,0,0,39,33,77,67,21,11,56,52,39,37,1,0,0,0,2,1,0,0,3,1,0,8,4,0,0,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
3,설영우,DF,66,99,0,0,1,0,0,1,1,0,0,1,0,11,0,0,70,58,1,22,12,27,27,21,19,15,14,22,14,33,30,5,1,26,20,39,37,2,1,0,0,2,1,1,0,6,0,0,17,0,0,1,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
4,황석호,DF,20,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,84,79,0,24,19,7,7,53,53,1,1,36,33,47,45,9,7,50,49,25,23,0,0,0,0,4,2,2,1,3,1,0,4,0,0,3,1,1,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
5,이명재,DF,13,99,0,0,0,0,0,0,0,0,1,2,1,12,0,0,77,66,1,27,22,31,30,19,14,23,19,12,11,42,36,1,0,23,20,53,46,8,1,1,1,0,0,3,1,1,1,1,6,1,0,1,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
6,이동경,MF,14,87,1,1,1,1,0,0,1,0,0,3,2,0,1,0,29,25,2,12,9,12,12,5,4,12,9,1,1,16,15,4,3,6,5,19,17,4,2,0,0,1,0,5,1,0,1,1,5,2,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
7,보야니치,MF,6,81,0,0,3,1,1,1,0,3,0,2,1,0,2,2,80,72,0,24,17,19,19,37,36,8,5,11,10,61,57,7,5,31,30,42,37,2,0,1,0,3,1,3,1,1,4,3,8,2,0,1,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
8,이규성,MF,8,99,0,0,0,0,0,0,0,0,0,2,1,0,0,0,79,73,1,25,22,20,19,34,32,17,14,12,12,50,47,1,1,28,27,50,45,2,0,0,0,1,1,3,1,1,3,1,11,3,1,1,4,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
9,켈빈,MF,97,50,0,0,2,2,0,0,0,2,0,0,0,1,0,0,13,11,0,3,2,6,6,4,3,8,6,0,0,5,5,0,0,2,2,11,9,1,0,1,0,1,0,2,2,1,2,1,2,1,0,0,4,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
10,장시영,MF,28,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2,2,6,6,2,2,6,6,0,0,4,4,0,0,3,3,7,7,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
11,마틴 아담,FW,9,99,2,0,4,4,0,0,4,0,0,0,0,0,2,0,17,13,0,5,2,8,8,4,3,6,3,1,1,10,9,0,0,3,3,14,10,0,0,1,0,7,2,0,0,0,0,0,4,0,0,1,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
12,주민규,대기,18,18,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
13,김민우,대기,10,49,0,0,2,0,2,0,0,2,0,0,0,2,2,1,17,16,2,1,0,14,14,2,2,5,5,1,1,11,10,0,0,6,5,11,11,6,2,2,1,2,1,2,2,0,1,0,3,1,1,1,1,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
14,임종은,대기,5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
15,최강민,대기,70,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
16,심상민,대기,2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
17,마테우스,대기,95,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
18,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
19,루빅손,대기,17,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
20,아타루,대기,31,49,0,0,2,1,0,1,2,0,1,1,0,0,0,0,25,22,0,12,10,5,5,8,7,8,7,5,3,12,12,3,3,6,5,16,14,1,0,1,0,2,0,1,0,0,0,1,6,0,2,2,0,0,0,2024,하나은행 K리그1,울산,3R / 인천(H),3R , 인천(H)
1,조현우,GK,21,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,45,37,0,20,12,0,0,25,25,0,0,45,37,0,0,15,7,22,22,8,8,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,1,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
2,최강민,DF,70,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,15,1,8,5,4,4,7,6,5,5,6,4,8,6,2,0,6,5,11,10,1,0,3,2,1,1,2,1,6,1,1,3,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
3,황석호,DF,20,100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,66,58,0,34,26,14,14,18,18,4,3,34,30,28,25,9,6,29,26,28,26,0,0,0,0,2,2,2,1,6,3,0,6,0,0,3,0,1,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
4,임종은,DF,5,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,54,0,22,16,9,9,29,29,0,0,35,30,25,24,3,1,32,28,25,25,0,0,0,0,6,5,0,0,4,1,1,6,4,1,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
5,이명재,DF,13,100,0,0,1,0,0,1,0,1,0,5,0,0,0,0,67,55,0,31,20,13,13,23,22,3,2,36,30,28,23,11,4,26,23,30,28,3,1,1,1,2,1,2,2,3,0,0,7,2,0,1,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
6,보야니치,MF,6,83,0,0,0,0,0,0,0,0,0,2,0,0,0,0,52,48,0,19,16,19,19,14,13,18,15,8,8,26,25,7,7,14,12,31,29,1,0,0,0,2,0,1,0,1,1,0,6,2,0,1,3,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
7,루빅손,MF,17,100,0,0,1,1,0,0,1,0,0,0,0,3,1,0,42,33,0,15,8,14,12,13,13,9,7,15,11,18,15,1,0,12,9,29,24,1,0,2,2,4,2,3,3,0,2,2,12,2,1,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
8,이동경,MF,14,64,1,0,3,1,1,1,1,2,0,1,2,1,0,0,20,17,0,6,5,4,4,10,8,7,6,5,4,8,7,1,1,9,7,10,9,4,2,2,1,2,0,0,0,0,2,3,6,1,0,1,1,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
9,김민우,MF,10,75,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,18,2,3,1,9,8,9,9,8,7,1,1,12,10,0,0,7,5,14,13,2,1,0,0,3,3,0,0,0,1,0,3,1,0,2,5,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
10,이규성,MF,8,100,0,1,2,1,1,0,1,1,0,0,1,0,1,1,47,41,1,21,16,10,10,16,15,11,9,9,8,27,24,2,1,18,15,27,25,2,1,1,1,1,0,4,1,2,1,1,9,1,1,0,2,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
11,김지현,FW,96,64,1,0,4,1,2,1,3,1,0,0,0,0,1,0,13,12,1,1,1,7,7,5,4,6,5,1,1,6,6,0,0,6,5,7,7,0,0,2,1,6,4,2,0,0,0,3,1,1,0,0,1,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
12,엄원상,대기,11,36,0,0,1,1,0,0,1,0,0,0,0,0,1,0,13,11,1,2,2,4,4,7,5,12,11,0,0,1,0,0,0,3,3,10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
13,이청용,대기,27,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,8,0,2,0,4,4,4,4,2,1,0,0,8,7,1,0,4,4,5,4,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
14,김영권,대기,19,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
15,마틴 아담,대기,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
16,마테우스,대기,95,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
17,조수혁,대기,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
18,주민규,대기,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,3,2,3,3,2,2,5,4,0,0,3,3,0,0,1,1,7,6,0,0,4,2,7,3,1,1,1,0,0,2,0,0,0,1,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
19,설영우,대기,66,50,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,27,0,10,9,10,10,9,8,11,11,1,0,17,16,3,2,11,11,15,14,0,0,0,0,0,0,1,1,3,0,2,3,2,0,0,0,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
20,장시영,대기,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,1,1,7,7,4,4,8,8,0,0,4,4,0,0,2,2,10,10,1,0,1,0,1,1,2,0,0,0,0,3,0,0,0,2,0,0,2024,하나은행 K리그1,울산,4R / 전북(A),4R , 전북(A)
1,조현우,GK,21,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,29,0,12,9,0,0,20,20,0,0,31,28,1,1,7,4,16,16,9,9,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
2,김영권,DF,19,67,0,0,1,0,0,1,0,1,0,2,0,0,0,0,61,55,0,35,30,10,9,16,16,2,2,23,21,36,32,12,8,32,30,17,17,1,0,0,0,3,2,0,0,2,1,0,4,0,0,0,0,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
3,심상민,DF,2,48,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28,25,0,8,5,14,14,6,6,8,8,5,5,15,12,1,0,11,9,16,16,4,1,2,1,0,0,1,0,0,2,1,4,1,1,0,0,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
4,설영우,DF,66,99,0,0,0,0,0,0,0,0,1,2,0,8,0,0,78,71,0,34,28,21,21,23,22,27,25,15,12,36,34,4,2,24,22,50,47,6,1,0,0,1,0,1,0,4,1,1,7,0,1,0,1,1,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
5,황석호,DF,20,99,0,0,1,0,1,0,1,0,0,3,0,0,0,0,91,84,0,37,30,5,5,49,49,4,4,37,32,50,48,13,7,47,47,31,30,0,0,2,0,5,2,2,0,3,1,1,9,1,0,2,0,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
6,이동경,MF,14,99,0,0,7,4,1,2,4,3,1,4,4,0,1,1,47,39,1,18,13,17,16,12,10,22,16,3,3,22,20,0,0,17,15,30,24,8,1,1,1,0,0,2,1,0,1,6,6,2,0,2,2,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
7,마테우스,MF,95,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,54,1,20,15,7,7,33,32,9,8,10,10,41,36,2,1,21,18,37,35,0,0,1,1,3,0,1,0,1,1,6,11,4,0,3,3,0,0,2024,하나은행 K리그1,울산,5R / 대전(A),5R , 대전(A)
