No,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블 시도,드리블 성공,패스 시도,패스 성공,키패스,전방 패스 시도,전방 패스 성공,후방 패스 시도,후방 패스 성공,횡패스 시도,횡패스 성공,공격지역패스 시도,공격지역패스 성공,수비지역패스 시도,수비지역패스 성공,중앙지역패스 시도,중앙지역패스 성공,롱패스 시도,롱패스 성공,중거리패스 시도,중거리패스 성공,숏패스 시도,숏패스 성공,크로스 시도,크로스 성공,경합 지상 시도,경합 지상 성공,경합 공중 시도,경합 공중 성공,태클 시도,태클 성공,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,대회년도,대회명,팀명,경기명,라운드,상대팀명
2,박진영,DF,40,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,43,0,31,20,4,4,21,19,2,0,28,22,26,21,6,0,25,24,25,19,0,0,5,3,11,7,2,1,5,1,5,10,4,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
3,고명석,DF,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,60,0,43,37,7,5,18,18,1,0,19,16,48,44,14,13,26,25,28,22,1,0,0,0,1,1,0,0,5,3,3,11,1,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
4,카이오,DF,4,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,37,0,18,15,2,2,20,20,0,0,19,19,21,18,4,3,21,20,15,14,0,0,0,0,4,3,1,0,3,2,2,9,1,1,1,0,1,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
5,홍철,MF,33,100,0,0,1,0,0,1,1,0,0,2,0,9,0,0,48,42,0,25,20,14,13,9,9,13,12,7,6,28,24,2,2,14,12,32,28,3,0,1,1,0,0,0,0,3,0,1,9,2,0,1,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
6,박세진,MF,14,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,16,0,5,5,6,5,6,6,3,3,3,2,11,11,0,0,6,5,11,11,1,0,3,1,1,0,4,1,1,0,1,2,3,0,0,1,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
7,요시노,MF,5,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,42,35,0,17,11,9,9,16,15,5,4,9,5,28,26,3,1,8,7,31,27,0,0,4,3,3,2,3,2,1,0,3,6,1,0,0,1,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
8,황재원,MF,2,100,0,0,1,0,1,0,0,1,0,1,0,6,0,0,73,67,0,25,20,22,22,26,25,8,8,13,12,52,47,6,5,21,18,46,44,2,0,0,0,2,1,0,0,3,0,0,15,2,1,1,1,1,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
9,이탈로,FW,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
10,세징야,FW,11,100,0,0,2,0,1,1,1,1,0,4,6,1,0,0,50,33,0,20,5,12,12,18,16,6,2,3,3,41,28,9,5,13,11,28,17,10,3,0,0,2,0,1,0,0,0,0,5,0,2,0,3,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
11,정치인,FW,32,78,0,0,1,0,1,0,0,1,1,0,0,0,2,0,18,14,0,4,1,5,5,9,8,3,2,2,1,13,11,1,1,3,2,14,11,4,0,1,1,6,4,0,0,1,0,0,4,0,2,0,1,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
12,에드가,대기,9,52,0,0,2,1,0,1,2,0,0,0,0,0,0,0,8,7,1,3,2,1,1,4,4,3,3,0,0,5,4,0,0,2,1,6,6,0,0,3,1,6,4,0,0,0,0,0,2,0,0,1,0,1,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
13,장성원,대기,22,52,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,15,2,8,5,5,5,5,5,1,1,12,9,5,5,3,2,1,1,14,12,2,2,1,1,0,0,1,0,0,0,2,6,0,0,0,3,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
14,이용래,대기,74,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,9,0,1,1,2,2,6,6,1,1,2,2,6,6,1,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024,하나은행 K리그1,대구,35R / 대전(A),35R , 대전(A)
